Artiest;Song;Jaartal;Groep
DJ Aladdin;Jack Move;1993;34
Luke, JT Money and Clayvoise;Cowards in Compton;1993;34
Tisha Campbell;Round 'N' Round;1993;34
Finesse & Showbiz;Pete's Theme;1993;34
Scha Dara Parr;Little Bird Strut;1993;34
OutKast;Jazzy Belle;1996;34
Kid Rock feat. Joe C and Tino;Early Mornin' Stoned Pimp;1996;34
BOSE;Mr DJ;1996;34
Master P, Young Bleed and C-Loc;How Ya Do Dat;1997;34
Afrika Bambaataa and The Jazzy 5;Jazzy Sensation (The Jazz Mix);1997;34
Militant Mind State feat. Munk Wit Da Funk and Stewy Nuke'em;Lyrikly;1997;34
Peanut Butter Wolf;Tale of Five Cities;1998;34
DJ Faust;Neva Gets Nervous;1998;34
Butchwax;Side A;1999;34
Kaliber 44;Co Robisz?;2000;34
Invisibl Skratch Piklz;Rock Steady Graffiti Mini-Skirt;2000;34
Josephine Johnny;Workin' Wit Sumthin';2000;34
Freestylers;Intro;2001;34
X-Ecutioners;Feel the Bass;2002;34
O.S.T.R.;Grzech Za Grzech ;2002;34
Linkin Park;Don't Stay;2003;34
Karia Nomoto;Rock Steady;2004;34
Fdel;Rocksteady;2005;34
Move.Meant;Rock Steady;2006;34
Namie Amuro;Rock Steady;2008;34
Phill Most Chill;Phill Most Chill on the Hype Tip;2011;34
Wale;Lacefrontin;2011;34
J Dilla;Feel This Shit ;2012;34
Divine Beings;Rock On;2014;34
Axlubi-X;Scratch a Saco;2014;34
Aretha Franklin;Bridge Over Troubled Water;1971;35
Fugees;Some Seek Stardom;1994;35
Estelle;More Than Friends;2008;35
Aretha Franklin;Spanish Harlem;1971;36
David Bowie and Tina Turner;Tonight;1984;36
En Vogue;Hip Hop Lover (Remix);1992;36
Aretha Franklin;The Long and Winding Road;1972;37
Cash Brown;Last Man Standing;2000;37
Styles P feat. Pharoahe Monch;The Life;2002;37
Northstar;Duckie;2004;37
Erick Dayz ;Winding Road;2013;37
Aretha Franklin;Day Dreaming;1972;38
Blackstreet feat. SWV and Craig Mack;Tonight's the Night (Remix);1994;38
Miss Jones;Where I Wanna Be Boy (Uptown Radio Mix);1994;38
Grand Puba;Playin' the Game ;1995;38
MC Solaar;Daydreamin';1997;38
Rip Slyme;______;1998;38
Cam'ron feat. Tiffany Carlin;Daydreaming;2002;38
T.I. feat. Jazze Pha;Let's Get Away ;2003;38
Hoodie Allen;Day Dreaming ;2009;38
Mutt;Let's Get Away;2009;38
Ab-Soul;Bohemian Groove ;2012;38
Devin the Dude;You'll Be Satisfied;2012;38
Luke Warm;Daydreamin' ;2014;38
Aretha Franklin;Young, Gifted and Black;1972;39
N-Tyce;Black to the Point;1990;39
Gang Starr;92 Interlude;1992;39
Heavy D & the Boyz;Yes Y'All ;1992;39
MC Lyte;I Go on (Gangsta Mix);1993;39
Nine feat. 3rd Eye;Richman Poorman (Act One) ;1996;39
Count Bass D;Nina & Weldon ;2004;39
One Be Lo;Cold World ;2005;39
Inpsychlopedia Brown;Cold World ;2005;39
Lupe Fiasco;Cold World ;2008;39
Gramatik;In This Whole World ;2010;39
Cappadonna;Cuban Link Kings;2011;39
Faith Evans feat. Missy Elliott and Sharaya J;I Deserve It;2014;39
Aretha Franklin;Precious Memories ;1972;40
Jon B feat. Scarface;Thru the Fire;2008;40
Aretha Franklin;All the King's Horses;1972;41
Blu feat. TiRon;AllTheKingsMen;2010;41
Aretha Franklin;Until You Come Back to Me (That's What I'm Gonna Do);1973;42
Luther Vandross;Superstar/Until You Come Back to Me (That's What I'm Gonna Do);1983;42
John Legend;Do What I Gotta Do;2004;42
Lupe Fiasco;We Love You;2006;42
Aretha Franklin;Angel;1973;43
L. Da Headtoucha;Evolution;2003;43
Royce Da 5'9'';Angel;2008;43
Handbook;Angels;2014;43
Aretha Franklin;Mister Spain;1973;44
Black Star;You Already Knew;2011;44
Aretha Franklin;Master of Eyes (The Deepness of Your Eyes);1973;45
Wade Waters;Right Back ;2006;45
Aretha Franklin;A Song for You;1974;46
Onyx;Last Dayz;1995;46
Nas;The Rise and Fall ;2003;46
Aretha Franklin;Oh Baby;1974;47
Jay Z;In My Lifetime (Big Jaz Radio Remix);1995;47
Aretha Franklin;I'm in Love;1974;48
T.I. and Tapemasters Inc feat. Mac Boney;Get Up ;2007;48
Aretha Franklin;It Only Happens (When I Look at You);1975;49
De La Soul;Long Island Degrees;1996;49
Aretha Franklin;You Make My Life;1975;50
Dre feat. Keyshia Cole;Be Somebody;2006;50
Aretha Franklin;I Get High;1976;51
Trigger Tha Gambler and Smoothe Da Hustler;My Crew Can't Go for That;1996;51
Talib Kweli feat. Mos Def;Joy;2002;51
Big Sty;It's a Problem;2004;51
L.E.G.A.C.Y.;Sista Girl ;2005;51
Czar Nok;Can't Get Out the Game;2005;51
Muneshine feat. Sean Price and Termanology;What Now;2008;51
